TABLE_SCHEMA|TABLE_NAME|COLUMN_NAME|ORDINAL_POSITION|DATA_TYPE|CHARACTER_MAXIMUM_LENGTH|NUMERIC_PRECISION|NUMERIC_SCALE|DATETIME_PRECISION|IS_NULLABLE|COLUMN_DEFAULT|IS_IDENTITY|IS_COMPUTED
------------|----------|-----------|----------------|---------|------------------------|-----------------|-------------|------------------|-----------|--------------|-----------|-----------
dbo|alarm_log|alarm_id|1|bigint|NULL|19|0|NULL|NO|NULL|1|0
dbo|alarm_log|meter_id|2|int|NULL|10|0|NULL|YES|NULL|0|0
dbo|alarm_log|alarm_type|3|varchar|100|NULL|NULL|NULL|YES|NULL|0|0
dbo|alarm_log|severity|4|varchar|20|NULL|NULL|NULL|YES|NULL|0|0
dbo|alarm_log|triggered_at|5|datetime|NULL|NULL|NULL|3|YES|NULL|0|0
dbo|alarm_log|cleared_at|6|datetime|NULL|NULL|NULL|3|YES|NULL|0|0
dbo|alarm_log|description|7|text|2147483647|NULL|NULL|NULL|YES|NULL|0|0
dbo|daily_measurements|day_id|1|bigint|NULL|19|0|NULL|NO|NULL|1|0
dbo|daily_measurements|meter_id|2|int|NULL|10|0|NULL|YES|NULL|0|0
dbo|daily_measurements|measured_date|3|date|NULL|NULL|NULL|0|NO|NULL|0|0
dbo|daily_measurements|avg_voltage|4|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|daily_measurements|avg_current|5|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|daily_measurements|avg_power_factor|6|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|daily_measurements|max_voltage|7|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|daily_measurements|min_voltage|8|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|daily_measurements|max_current|9|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|daily_measurements|min_current|10|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|daily_measurements|energy_consumed_kwh|11|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|daily_measurements|energy_generated_kwh|12|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|daily_measurements|voltage_unbalance_rate|13|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|daily_measurements|harmonic_distortion_rate|14|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|device_events|event_id|1|bigint|NULL|19|0|NULL|NO|NULL|1|0
dbo|device_events|device_id|2|int|NULL|10|0|NULL|YES|NULL|0|0
dbo|device_events|event_type|3|varchar|50|NULL|NULL|NULL|YES|NULL|0|0
dbo|device_events|event_time|4|datetime|NULL|NULL|NULL|3|NO|NULL|0|0
dbo|device_events|restored_time|5|datetime|NULL|NULL|NULL|3|YES|NULL|0|0
dbo|device_events|severity|6|varchar|20|NULL|NULL|NULL|YES|NULL|0|0
dbo|device_events|description|7|text|2147483647|NULL|NULL|NULL|YES|NULL|0|0
dbo|device_events|trip_count|8|int|NULL|10|0|NULL|YES|((0))|0|0
dbo|device_events|outage_count|9|int|NULL|10|0|NULL|YES|((0))|0|0
dbo|device_events|switch_count|10|int|NULL|10|0|NULL|YES|((0))|0|0
dbo|device_events|downtime_minutes|11|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|device_events|duration_seconds|12|int|NULL|10|0|NULL|YES|NULL|0|0
dbo|device_events|operating_time_minutes|13|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|devices|device_id|1|int|NULL|10|0|NULL|NO|NULL|1|0
dbo|devices|device_name|2|varchar|100|NULL|NULL|NULL|NO|NULL|0|0
dbo|devices|device_type|3|varchar|50|NULL|NULL|NULL|YES|NULL|0|0
dbo|devices|location|4|varchar|100|NULL|NULL|NULL|YES|NULL|0|0
dbo|devices|panel_name|5|varchar|100|NULL|NULL|NULL|YES|NULL|0|0
dbo|devices|building_name|6|varchar|100|NULL|NULL|NULL|YES|NULL|0|0
dbo|devices|install_date|7|date|NULL|NULL|NULL|0|YES|NULL|0|0
dbo|devices|status|8|varchar|20|NULL|NULL|NULL|YES|('Active')|0|0
dbo|devices|remarks|9|text|2147483647|NULL|NULL|NULL|YES|NULL|0|0
dbo|flicker_measurements|flicker_id|1|bigint|NULL|19|0|NULL|NO|NULL|1|0
dbo|flicker_measurements|meter_id|2|int|NULL|10|0|NULL|YES|NULL|0|0
dbo|flicker_measurements|measured_at|3|datetime|NULL|NULL|NULL|3|NO|NULL|0|0
dbo|flicker_measurements|flicker_pst|4|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|flicker_measurements|flicker_plt|5|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|harmonic_measurements|harmonic_id|1|bigint|NULL|19|0|NULL|NO|NULL|1|0
dbo|harmonic_measurements|meter_id|2|int|NULL|10|0|NULL|YES|NULL|0|0
dbo|harmonic_measurements|measured_at|3|datetime|NULL|NULL|NULL|3|NO|NULL|0|0
dbo|harmonic_measurements|thd_voltage_a|4|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|harmonic_measurements|thd_voltage_b|5|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|harmonic_measurements|thd_voltage_c|6|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|harmonic_measurements|voltage_h3_a|7|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|harmonic_measurements|voltage_h5_a|8|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|harmonic_measurements|voltage_h7_a|9|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|harmonic_measurements|voltage_h3_b|10|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|harmonic_measurements|voltage_h5_b|11|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|harmonic_measurements|voltage_h7_b|12|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|harmonic_measurements|voltage_h3_c|13|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|harmonic_measurements|voltage_h5_c|14|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|harmonic_measurements|voltage_h7_c|15|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|harmonic_measurements|thd_current_a|16|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|harmonic_measurements|thd_current_b|17|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|harmonic_measurements|thd_current_c|18|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|harmonic_measurements|current_h3_a|19|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|harmonic_measurements|current_h5_a|20|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|harmonic_measurements|current_h7_a|21|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|harmonic_measurements|current_h3_b|22|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|harmonic_measurements|current_h5_b|23|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|harmonic_measurements|current_h7_b|24|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|harmonic_measurements|current_h3_c|25|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|harmonic_measurements|current_h5_c|26|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|harmonic_measurements|current_h7_c|27|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|harmonic_measurements|voltage_h9_a|28|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|harmonic_measurements|voltage_h11_a|29|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|harmonic_measurements|voltage_h9_b|30|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|harmonic_measurements|voltage_h11_b|31|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|harmonic_measurements|voltage_h9_c|32|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|harmonic_measurements|voltage_h11_c|33|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|harmonic_measurements|current_h9_a|34|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|harmonic_measurements|current_h11_a|35|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|harmonic_measurements|current_h9_b|36|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|harmonic_measurements|current_h11_b|37|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|harmonic_measurements|current_h9_c|38|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|harmonic_measurements|current_h11_c|39|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|measurement_id|1|bigint|NULL|19|0|NULL|NO|NULL|1|0
dbo|measurements|meter_id|2|int|NULL|10|0|NULL|YES|NULL|0|0
dbo|measurements|measured_at|3|datetime|NULL|NULL|NULL|3|NO|NULL|0|0
dbo|measurements|voltage_ab|4|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|voltage_bc|5|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|voltage_ca|6|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|voltage_an|7|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|voltage_bn|8|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|voltage_cn|9|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|current_a|10|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|current_b|11|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|current_c|12|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|current_n|13|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|average_voltage|14|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|average_current|15|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|frequency|16|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|power_factor_a|17|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|power_factor_b|18|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|power_factor_c|19|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|active_power_a|20|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|active_power_b|21|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|active_power_c|22|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|active_power_total|23|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|reactive_power_a|24|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|reactive_power_b|25|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|reactive_power_c|26|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|reactive_power_total|27|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|apparent_power_a|28|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|apparent_power_b|29|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|apparent_power_c|30|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|apparent_power_total|31|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|energy_consumed_total|32|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|energy_generated_total|33|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|reactive_energy_total|34|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|apparent_energy_total|35|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|voltage_max|36|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|voltage_min|37|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|voltage_stddev|38|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|voltage_variation_rate|39|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|current_max|40|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|current_min|41|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|current_stddev|42|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|current_variation_rate|43|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|power_factor_avg|44|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|power_factor_min|45|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|active_power_avg|46|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|reactive_power_avg|47|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|apparent_power_avg|48|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|energy_consumed_delta|49|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|energy_generated_delta|50|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|voltage_unbalance_rate|51|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|harmonic_distortion_rate|52|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|quality_status|53|varchar|50|NULL|NULL|NULL|YES|NULL|0|0
dbo|measurements|voltage_phase_a|54|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|voltage_phase_b|55|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|voltage_phase_c|56|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|current_phase_a|57|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|current_phase_b|58|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|current_phase_c|59|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|max_power|60|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|power_factor|61|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|phase_voltage_avg|62|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|measurements|line_voltage_avg|63|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|meters|meter_id|1|int|NULL|10|0|NULL|NO|NULL|1|0
dbo|meters|name|2|varchar|100|NULL|NULL|NULL|YES|NULL|0|0
dbo|meters|panel_name|3|varchar|100|NULL|NULL|NULL|YES|NULL|0|0
dbo|meters|building_name|4|varchar|100|NULL|NULL|NULL|YES|NULL|0|0
dbo|meters|usage_type|5|varchar|50|NULL|NULL|NULL|YES|NULL|0|0
dbo|meters|rated_voltage|6|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|meters|rated_current|7|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|monthly_measurements|month_id|1|bigint|NULL|19|0|NULL|NO|NULL|1|0
dbo|monthly_measurements|meter_id|2|int|NULL|10|0|NULL|YES|NULL|0|0
dbo|monthly_measurements|measured_month|3|date|NULL|NULL|NULL|0|NO|NULL|0|0
dbo|monthly_measurements|avg_voltage|4|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|monthly_measurements|avg_current|5|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|monthly_measurements|avg_power_factor|6|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|monthly_measurements|max_voltage|7|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|monthly_measurements|min_voltage|8|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|monthly_measurements|energy_consumed_kwh|9|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|monthly_measurements|energy_generated_kwh|10|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|monthly_measurements|voltage_unbalance_rate|11|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|monthly_measurements|harmonic_distortion_rate|12|float|NULL|53|NULL|NULL|YES|NULL|0|0
dbo|plc_ai_measurements_match|token|1|nvarchar|100|NULL|NULL|NULL|NO|NULL|0|0
dbo|plc_ai_measurements_match|float_index|2|int|NULL|10|0|NULL|NO|NULL|0|0
dbo|plc_ai_measurements_match|float_registers|3|int|NULL|10|0|NULL|NO|((2))|0|0
dbo|plc_ai_measurements_match|measurement_column|4|nvarchar|128|NULL|NULL|NULL|YES|NULL|0|0
dbo|plc_ai_measurements_match|target_table|5|nvarchar|64|NULL|NULL|NULL|NO|('measurements')|0|0
dbo|plc_ai_measurements_match|is_supported|6|bit|NULL|NULL|NULL|NULL|NO|NULL|0|0
dbo|plc_ai_measurements_match|note|7|nvarchar|400|NULL|NULL|NULL|YES|NULL|0|0
dbo|plc_ai_measurements_match|updated_at|8|datetime2|NULL|NULL|NULL|7|NO|(sysutcdatetime())|0|0
dbo|plc_ai_samples|id|1|bigint|NULL|19|0|NULL|NO|NULL|1|0
dbo|plc_ai_samples|measured_at|2|datetime2|NULL|NULL|NULL|7|NO|(sysdatetime())|0|0
dbo|plc_ai_samples|plc_id|3|int|NULL|10|0|NULL|YES|NULL|0|0
dbo|plc_ai_samples|plc_ip|4|nvarchar|64|NULL|NULL|NULL|YES|NULL|0|0
dbo|plc_ai_samples|unit_id|5|int|NULL|10|0|NULL|YES|NULL|0|0
dbo|plc_ai_samples|meter_id|6|int|NULL|10|0|NULL|YES|NULL|0|0
dbo|plc_ai_samples|reg_address|7|int|NULL|10|0|NULL|NO|NULL|0|0
dbo|plc_ai_samples|value_float|8|float|NULL|53|NULL|NULL|NO|NULL|0|0
