REFERENCING_SCHEMA|REFERENCING_OBJECT|REFERENCING_TYPE|referenced_schema_name|referenced_entity_name|referenced_class_desc
------------------|------------------|----------------|----------------------|----------------------|---------------------
dbo|sp_aggregate_daily_measurements|SQL_STORED_PROCEDURE|NULL|daily_measurements|OBJECT_OR_COLUMN
dbo|sp_aggregate_daily_measurements|SQL_STORED_PROCEDURE|NULL|measurements|OBJECT_OR_COLUMN
dbo|sp_aggregate_monthly_measurements|SQL_STORED_PROCEDURE|NULL|measurements|OBJECT_OR_COLUMN
dbo|sp_aggregate_monthly_measurements|SQL_STORED_PROCEDURE|NULL|monthly_measurements|OBJECT_OR_COLUMN
dbo|sp_aggregate_yearly_measurements|SQL_STORED_PROCEDURE|NULL|measurements|OBJECT_OR_COLUMN
dbo|sp_aggregate_yearly_measurements|SQL_STORED_PROCEDURE|NULL|yearly_measurements|OBJECT_OR_COLUMN
dbo|vw_alarm_log|VIEW|NULL|alarm_log|OBJECT_OR_COLUMN
dbo|vw_alarm_log|VIEW|NULL|meters|OBJECT_OR_COLUMN
dbo|vw_device_event_log|VIEW|NULL|device_events|OBJECT_OR_COLUMN
dbo|vw_device_event_log|VIEW|NULL|devices|OBJECT_OR_COLUMN
dbo|vw_flicker_with_meter|VIEW|NULL|flicker_measurements|OBJECT_OR_COLUMN
dbo|vw_flicker_with_meter|VIEW|NULL|meters|OBJECT_OR_COLUMN
dbo|vw_harmonic_measurements|VIEW|dbo|harmonic_measurements|OBJECT_OR_COLUMN
dbo|vw_harmonic_measurements|VIEW|dbo|meters|OBJECT_OR_COLUMN
dbo|vw_meter_measurements|VIEW|NULL|measurements|OBJECT_OR_COLUMN
dbo|vw_meter_measurements|VIEW|NULL|meters|OBJECT_OR_COLUMN
dbo|vw_voltage_event_log|VIEW|NULL|meters|OBJECT_OR_COLUMN
dbo|vw_voltage_event_log|VIEW|NULL|voltage_events|OBJECT_OR_COLUMN
